symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
SD,"SandRidge Energy, Inc.",5.03,+0.17,+3.50%,"45,729","275,295",179.503M,6.72,
RNET,"RigNet, Inc.",7.66,+0.25,+3.37%,"1,087","61,690",150.987M,N/A,
NGS,"Natural Gas Services Group, Inc.",11.30,+0.03,+0.31%,"46,011","52,074",149.378M,282.38,
AMPY,Amplify Energy Corp.,5.22,+0.12,+2.35%,"62,789","61,837",116.583M,2.01,
IO,ION Geophysical Corporation,7.93,+0.56,+7.60%,"57,195","214,474",119.741M,N/A,
GIFI,"Gulf Island Fabrication, Inc.",6.78,+0.23,+3.51%,989,"27,677",103.31M,N/A,
RNGR,"Ranger Energy Services, Inc.",6.60,0.00,0.00%,"3,827","10,252",102.849M,9.62,
SBOW,"SilverBow Resources, Inc.",8.64,+0.26,+3.10%,"1,178","23,161",101.592M,0.70,
CELP,"Cypress Energy Partners, L.P.",7.48,-0.07,-0.87%,"1,062","9,812",90.297M,9.55,
VOC,VOC Energy Trust,5.27,+0.15,+2.86%,"6,022","54,695",89.525M,6.84,
PRT,PermRock Royalty Trust,7.21,+0.30,+4.28%,"10,443","43,690",87.665M,6.34,
MVO,MV Oil Trust,7.30,+0.40,+5.80%,"14,409","29,295",83.95M,4.82,
NRT,North European Oil Royalty Trust,6.93,+0.09,+1.32%,"7,122","19,279",63.691M,8.93,
CRT,Cross Timbers Royalty Trust,9.69,+0.18,+1.91%,"7,148","19,082",58.147M,8.12,
MTR,Mesa Royalty Trust,6.90,+0.22,+3.29%,"2,414","7,214",12.859M,6.02,
DCP-PB,"DCP Midstream, LP 7.875 CUM RED B",24.39,+0.19,+0.79%,926,"17,187",N/A,248.89,
EP-PC,El Paso Energy Capital Trust I PFD CV TR SECS,53.29,0.00,0.00%,"2,595","5,175",N/A,N/A,
