symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
HBI,Hanesbrands Inc.,13.95,+0.34,+2.46%,"934,387",4.819M,5.045B,9.01,
M,"Macy's, Inc.",16.20,+0.22,+1.35%,3.815M,10.106M,5.003B,4.93,
PII,Polaris Inc.,81.54,+1.63,+2.04%,"115,599","673,495",4.984B,15.75,
CHH,"Choice Hotels International, Inc.",89.23,+1.03,+1.17%,"23,991","295,673",4.97B,23.25,
WH,"Wyndham Hotels & Resorts, Inc.",51.16,+1.22,+2.44%,"214,251","996,377",4.933B,33.99,
SKX,"Skechers U.S.A., Inc.",31.11,+0.09,+0.31%,"347,280",2.183M,4.878B,15.05,
CHDN,Churchill Downs Incorporated,120.79,+1.99,+1.68%,"22,363","262,195",4.836B,26.43,
NYT,The New York Times Company,28.75,+0.58,+2.04%,"229,839",2.05M,4.772B,35.93,
SIX,Six Flags Entertainment Corporation,56.61,+0.44,+0.78%,"151,692",1.121M,4.775B,17.58,
LK,Luckin Coffee Inc.,19.80,+0.24,+1.23%,1.701M,4.949M,4.66B,N/A,
WEN,The Wendy's Company,20.18,+0.23,+1.15%,"426,178",2.578M,4.656B,10.30,
TV,"Grupo Televisa, S.A.B.",7.94,+0.04,+0.51%,"207,000",2.902M,4.59B,14.31,
QRTEB,"Qurate Retail, Inc.",10.99,+0.13,+1.20%,80,430,4.571B,9.39,
FND,"Floor & Decor Holdings, Inc.",44.97,+1.19,+2.72%,"88,314",1.15M,4.48B,39.45,
CNK,"Cinemark Holdings, Inc.",38.03,+0.16,+0.42%,"96,263",1.143M,4.455B,21.84,
NXST,"Nexstar Media Group, Inc.",96.35,+2.33,+2.48%,"102,399","557,346",4.441B,11.54,
FL,"Foot Locker, Inc.",39.77,+0.97,+2.50%,"993,043",4.091M,4.363B,8.31,
CPRI,Capri Holdings Limited,28.67,+0.43,+1.52%,"842,863",3.111M,4.346B,10.80,
GOOS,Canada Goose Holdings Inc.,38.89,+1.18,+3.13%,"412,184",1.87M,4.273B,56.94,
AN,"AutoNation, Inc.",47.84,+0.26,+0.55%,"109,962","761,179",4.261B,10.89,
TPX,"Tempur Sealy International, Inc.",75.85,+1.18,+1.58%,"146,564","794,417",4.151B,33.59,
SBGI,"Sinclair Broadcast Group, Inc.",45.30,+0.68,+1.52%,"133,937",1.306M,4.138B,14.10,
TRCO,Tribune Media Company,46.48,-0.01,-0.02%,"109,416","851,019",4.103B,10.72,
TSG,The Stars Group Inc.,14.15,+0.20,+1.47%,"598,947",2.264M,4.05B,456.61,
ARD,Ardagh Group S.A.,17.04,+0.21,+1.25%,"59,514","93,152",4.027B,N/A,
JWN,"Nordstrom, Inc.",26.05,+0.73,+2.88%,1.547M,4.539M,4.029B,8.45,
DECK,Deckers Outdoor Corporation,139.00,+4.71,+3.51%,"164,497","544,926",4.015B,14.93,
CBRL,"Cracker Barrel Old Country Store, Inc.",166.17,+1.23,+0.75%,"54,889","402,998",3.995B,18.22,
CRI,"Carter's, Inc.",88.60,+1.48,+1.70%,"131,537","729,114",3.92B,14.53,
VAC,Marriott Vacations Worldwide Corporation,89.12,+2.52,+2.91%,"64,270","339,244",3.879B,47.20,
UNF,UniFirst Corporation,203.46,+3.14,+1.57%,"33,247","119,342",3.866B,23.29,
BC,Brunswick Corporation,44.87,+0.95,+2.16%,"79,307",1.352M,3.846B,25.48,
GPK,Graphic Packaging Holding Company,13.06,+0.12,+0.93%,"488,707",3.694M,3.839B,14.98,
WYND,"Wyndham Destinations, Inc.",40.76,+1.05,+2.64%,"92,984","732,280",3.759B,8.43,
MAT,"Mattel, Inc.",10.74,+0.02,+0.14%,"476,371",7.747M,3.713B,N/A,
TXRH,"Texas Roadhouse, Inc.",51.36,-0.06,-0.12%,"74,599","967,471",3.689B,23.89,
CMPR,Cimpress N.V.,119.03,+1.99,+1.70%,"28,065","187,295",3.617B,39.67,
SHAK,Shake Shack Inc.,96.59,-0.50,-0.51%,"238,009","879,422",3.602B,185.75,
PAG,"Penske Automotive Group, Inc.",43.27,+0.40,+0.93%,"34,066","330,422",3.552B,8.18,
TGNA,TEGNA Inc.,15.80,+0.80,+5.33%,3.995M,2.283M,3.423B,8.32,
KAR,"KAR Auction Services, Inc.",25.49,-0.01,-0.04%,"407,753",3.578M,3.402B,12.34,
SLGN,Silgan Holdings Inc.,30.58,+0.27,+0.89%,"21,273","533,576",3.399B,16.99,
FTCH,Farfetch Limited,10.73,-0.52,-4.67%,1.1M,3.787M,3.266B,N/A,
ERI,"Eldorado Resorts, Inc.",40.27,+0.24,+0.60%,"110,361",1.828M,3.132B,33.25,
LAD,"Lithia Motors, Inc.",131.36,+1.73,+1.33%,"29,613","248,936",3.05B,11.42,
BJ,"BJ's Wholesale Club Holdings, Inc.",21.89,+0.21,+0.97%,"291,908",2.172M,3.048B,19.42,
MUSA,Murphy USA Inc.,94.53,+1.19,+1.27%,"32,890","306,895",3.041B,19.05,
DKS,"DICK'S Sporting Goods, Inc.",32.90,+0.73,+2.25%,"325,233",2.351M,3.027B,10.04,
FUN,"Cedar Fair, L.P.",52.78,+0.02,+0.04%,"18,537","294,217",2.987B,17.62,
MANU,Manchester United plc,18.05,+0.69,+3.96%,"36,824","48,169",2.969B,N/A,
WING,Wingstop Inc.,100.00,+0.31,+0.32%,"49,685","428,793",2.944B,147.07,
FOXF,Fox Factory Holding Corp.,76.14,+1.43,+1.91%,"34,595","207,461",2.926B,34.77,
BZUN,Baozun Inc.,48.51,+1.68,+3.59%,"795,240",1.451M,2.912B,82.22,
AMCX,AMC Networks Inc.,50.62,+0.47,+0.93%,"37,205","507,911",2.817B,6.41,
DOOO,BRP Inc.,30.57,+0.15,+0.49%,"3,978","18,993",2.763B,16.44,
STAY,"Extended Stay America, Inc.",14.63,+0.28,+1.95%,"261,899",1.969M,2.757B,13.60,
GT,The Goodyear Tire & Rubber Company,11.86,+0.15,+1.32%,"674,286",3.915M,2.759B,6.15,
AEO,"American Eagle Outfitters, Inc.",15.89,+0.49,+3.18%,1.248M,4.682M,2.737B,10.71,
BID,Sotheby's,58.53,+0.33,+0.56%,"392,675","762,815",2.728B,26.63,
AIN,Albany International Corp.,82.36,-0.22,-0.27%,"34,308","220,792",2.66B,24.48,
