symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
BHE,"Benchmark Electronics, Inc.",27.03,+0.53,+2.00%,"38,038","261,057",1.017B,19.70,
VSLR,"Vivint Solar, Inc.",8.14,+0.16,+2.01%,"359,716",1.126M,989.979M,N/A,
NXGN,"NextGen Healthcare, Inc.",15.11,+0.31,+2.09%,"28,746","370,007",987.921M,42.32,
XPER,Xperi Corporation,19.86,+0.56,+2.90%,"37,970","433,887",979.91M,32.19,
MTLS,Materialise NV,18.34,+0.41,+2.29%,"10,322","118,309",970.017M,189.07,
CTS,CTS Corporation,29.36,+1.03,+3.65%,"17,705","136,671",959.319M,19.19,
DBD,"Diebold Nixdorf, Incorporated",12.50,+0.01,+0.08%,"237,426",1.161M,959.325M,N/A,
CISN,Cision Ltd.,6.43,+0.02,+0.31%,"39,613","719,238",954.109M,N/A,
NOVA,Sunnova Energy International Inc.,11.39,+0.35,+3.17%,"72,173","677,617",946.687M,N/A,
TIVO,TiVo Corporation,7.45,+0.02,+0.27%,"156,212",1.137M,937.054M,N/A,
PHR,"Phreesia, Inc.",26.32,-0.35,-1.31%,"7,537","476,066",934.539M,N/A,
CNXN,"PC Connection, Inc.",35.43,+0.33,+0.94%,"10,892","55,984",932.45M,13.22,
HSTM,"HealthStream, Inc.",28.67,+0.34,+1.20%,"11,617","141,542",928.148M,66.21,
SCWX,SecureWorks Corp.,11.08,-0.12,-1.07%,"18,300","207,026",903.248M,N/A,
FARO,"FARO Technologies, Inc.",51.85,+1.73,+3.45%,"11,046","101,963",899.032M,N/A,
EXTR,"Extreme Networks, Inc.",7.56,+0.18,+2.44%,"210,526",1.194M,900.94M,N/A,
CANG,Cango Inc.,5.76,0.00,0.00%,20,"1,996",872.85M,50.57,
MODN,"Model N, Inc.",27.29,+1.13,+4.32%,"219,823","276,776",892.7M,N/A,
CLS,Celestica Inc.,6.85,+0.07,+1.03%,"40,331","349,817",881.705M,6.11,
MLAB,"Mesa Laboratories, Inc.",223.62,+3.12,+1.41%,"9,126","110,538",973.916M,115.15,
FORTY,Formula Systems (1985) Ltd.,57.49,+0.49,+0.86%,144,219,862.281M,25.63,
DDD,3D Systems Corporation,7.11,+0.28,+4.03%,"445,116",1.536M,839.47M,N/A,
SCSC,"ScanSource, Inc.",32.32,+0.86,+2.73%,"60,256","116,392",830.811M,14.76,
PI,"Impinj, Inc.",37.88,+0.88,+2.38%,"46,681","325,006",824.322M,N/A,
NVMI,Nova Measuring Instruments Ltd.,28.98,+0.58,+2.04%,"18,528","135,511",810.426M,19.49,
TYPE,Monotype Imaging Holdings Inc.,19.85,0.00,0.00%,"46,925","423,720",795.987M,32.54,
JKS,"JinkoSolar Holding Co., Ltd.",19.70,+0.36,+1.86%,"100,341","755,460",775.022M,15.31,
MOBL,"MobileIron, Inc.",6.92,+0.10,+1.41%,"163,449",1.034M,759.385M,N/A,
VCRA,"Vocera Communications, Inc.",24.07,+0.24,+1.01%,"38,549","418,839",749.415M,N/A,
RTEC,"Rudolph Technologies, Inc.",23.40,+0.26,+1.12%,"18,719","245,373",728.112M,26.06,
NANO,Nanometrics Incorporated,28.69,+0.24,+0.84%,"15,127","252,423",712.327M,23.33,
LTRPA,"Liberty TripAdvisor Holdings, Inc.",9.39,+0.01,+0.11%,"34,893","384,517",708.254M,100.97,
CEVA,"CEVA, Inc.",32.24,+0.38,+1.21%,"22,377","106,842",708.261M,686.06,
QADA,QAD Inc.,37.51,+0.12,+0.32%,"4,513","58,322",708.549M,134.93,
QADB,QAD Inc.,28.55,0.00,0.00%,1,"1,625",699.852M,102.70,
IMOS,ChipMOS TECHNOLOGIES INC.,19.12,+0.20,+1.06%,"9,248","20,995",695.949M,45.52,
HMI,Huami Corporation,11.25,-0.02,-0.18%,"289,432","301,592",679.881M,16.26,
SGH,"SMART Global Holdings, Inc.",28.48,+0.14,+0.49%,"18,179","379,433",668.252M,8.81,
CMTL,Comtech Telecommunications Corp.,27.58,+0.09,+0.33%,"27,308","130,657",665.723M,25.30,
ITRN,Ituran Location and Control Ltd.,28.24,+0.03,+0.09%,"7,281","84,014",662.828M,10.40,
AGYS,"Agilysys, Inc.",27.60,-0.18,-0.65%,"23,764","116,903",653.441M,N/A,
IIIV,"i3 Verticals, Inc.",23.59,+0.78,+3.42%,"26,273","241,300",645.142M,N/A,
EVH,"Evolent Health, Inc.",7.50,+0.20,+2.74%,"75,276",1.719M,633.893M,N/A,
UEIC,Universal Electronics Inc.,45.84,+1.27,+2.85%,"19,663","110,166",635.315M,55.56,
VIOT,"Viomi Technology Co., Ltd",9.10,-0.10,-1.14%,"22,474","104,555",629.981M,N/A,
PLAB,"Photronics, Inc.",9.19,+0.27,+3.03%,"55,116","425,331",616.334M,16.35,
HLIT,Harmonic Inc.,6.82,+0.16,+2.33%,"84,585","849,171",610.686M,N/A,
DQ,Daqo New Energy Corp.,44.18,+0.48,+1.10%,"67,054","238,077",586.763M,N/A,
QNST,"QuinStreet, Inc.",11.15,-0.40,-3.46%,"169,317","617,185",559.198M,9.45,
LASR,"nLIGHT, Inc.",14.52,+0.38,+2.72%,"29,718","414,861",547.415M,115.28,
CASA,"Casa Systems, Inc.",6.46,+0.09,+1.41%,"33,067","304,390",542.848M,29.50,
ATEN,"A10 Networks, Inc.",7.03,0.00,0.00%,"23,784","495,168",538.182M,N/A,
VECO,Veeco Instruments Inc.,11.01,+0.06,+0.55%,"57,573","340,593",535.914M,N/A,
TNAV,"Telenav, Inc.",11.39,+0.29,+2.61%,"157,642","372,158",534.321M,N/A,
COHU,"Cohu, Inc.",12.87,+0.16,+1.26%,"35,954","351,657",528.9M,N/A,
ADTN,"ADTRAN, Inc.",11.01,+0.26,+2.42%,"18,142","374,693",526.379M,107.94,
RUBI,"the Rubicon Project, Inc.",9.81,+0.01,+0.14%,"62,154","872,365",520.026M,N/A,
AUDC,AudioCodes Ltd.,17.70,+0.19,+1.09%,"24,131","171,885",515.612M,32.24,
TUFN,Tufin Software Technologies Ltd.,15.67,-0.33,-2.04%,"26,677","313,460",508.377M,N/A,
UCTT,"Ultra Clean Holdings, Inc.",12.88,+0.36,+2.88%,"32,402","349,412",509.343M,N/A,
ACLS,"Axcelis Technologies, Inc.",15.52,+0.19,+1.27%,"24,805","208,128",501.956M,22.21,
DMRC,Digimarc Corporation,40.64,-0.16,-0.39%,"16,284","149,522",505.285M,N/A,
ICHR,"Ichor Holdings, Ltd.",21.79,+0.39,+1.82%,"24,886","255,507",489.083M,33.84,
AQ,Aquantia Corp.,13.16,+0.02,+0.11%,"9,178","378,565",475.063M,N/A,
GILT,Gilat Satellite Networks Ltd.,8.33,+0.43,+5.39%,"6,808","15,747",461.76M,23.20,
BCOV,Brightcove Inc.,11.95,+0.01,+0.08%,"47,105","150,214",457.43M,N/A,
SOHU,Sohu.com Limited,11.50,+0.54,+4.93%,"101,711","458,350",451.128M,N/A,
RST,Rosetta Stone Inc.,18.73,+0.18,+1.00%,"22,734","200,903",446.033M,N/A,
MGIC,Magic Software Enterprises Ltd.,9.16,+0.04,+0.49%,"5,728","17,742",426.997M,25.96,
AMSWA,"American Software, Inc.",14.03,+0.05,+0.36%,"3,760","71,776",439.959M,63.78,
ZIXI,Zix Corporation,7.90,+0.16,+2.07%,"67,042","783,696",439.234M,N/A,
UIS,Unisys Corporation,8.19,+0.13,+1.61%,"109,213","719,290",424.114M,11.08,
VPG,"Vishay Precision Group, Inc.",31.24,+0.57,+1.86%,"8,090","61,730",422.165M,15.72,
CTK,CooTek (Cayman) Inc.,6.39,+0.30,+4.93%,"6,972","51,509",406.44M,60.86,
SWIR,"Sierra Wireless, Inc.",11.11,+0.24,+2.21%,"29,727","172,352",402.121M,N/A,
MAXR,Maxar Technologies Inc.,6.60,+0.28,+4.43%,"249,877",2.109M,393.34M,N/A,
PDFS,"PDF Solutions, Inc.",11.64,+0.14,+1.22%,"6,089","110,595",377.47M,N/A,
DGII,Digi International Inc.,13.31,+0.16,+1.26%,"8,052","124,112",374.356M,35.77,
MX,MagnaChip Semiconductor Corporation,10.89,+0.21,+2.01%,"59,750","319,957",373.03M,N/A,
KE,"Kimball Electronics, Inc.",14.58,+0.28,+1.96%,"3,774","62,541",370.606M,12.05,
SNCR,"Synchronoss Technologies, Inc.",8.63,-0.02,-0.23%,"12,936","388,119",369.279M,N/A,
PAR,PAR Technology Corporation,22.46,0.00,0.00%,"24,463","220,346",365.033M,N/A,
TLRA,"Telaria, Inc.",7.79,-0.16,-2.01%,"157,704","825,836",355.396M,N/A,
CAMP,CalAmp Corp.,10.11,+0.25,+2.54%,"30,326","401,077",339.996M,288.86,
CYOU,Changyou.com Limited,6.30,+0.30,+5.00%,"83,464","245,561",335.479M,2.85,
CRCM,"Care.com, Inc.",10.21,+0.19,+1.90%,"131,151","704,050",334.531M,N/A,
DSPG,"DSP Group, Inc.",14.36,+0.16,+1.13%,"4,739","190,026",329.158M,N/A,
CALX,"Calix, Inc.",5.88,+0.09,+1.55%,"31,998","306,423",325.991M,N/A,
MIXT,MiX Telematics Limited,14.30,+0.04,+0.28%,"5,229","86,244",318.807M,22.88,
CPSI,"Computer Programs and Systems, Inc.",22.13,+0.76,+3.56%,"15,006","119,233",317.681M,17.00,
AOSL,Alpha and Omega Semiconductor Limited,11.90,+0.48,+4.20%,"33,779","81,441",291.752M,154.55,
NPTN,NeoPhotonics Corporation,6.01,+0.26,+4.61%,"157,442",1.38M,285.157M,N/A,
DAKT,"Daktronics, Inc.",6.12,+0.06,+0.99%,"7,137","211,547",276.244M,N/A,
AVID,"Avid Technology, Inc.",6.15,+0.02,+0.33%,"66,410","496,069",264.179M,N/A,
IMMR,Immersion Corporation,7.99,+0.06,+0.73%,"57,311","351,195",258.289M,N/A,
