symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
FELE,"Franklin Electric Co., Inc.",46.83,+0.84,+1.83%,"24,755","159,244",2.17B,23.06,
SAIA,"Saia, Inc.",82.69,+1.40,+1.72%,"45,918","198,773",2.142B,19.27,
WAGE,"WageWorks, Inc.",51.25,0.00,0.00%,"51,797","714,379",2.087B,109.04,
AIT,"Applied Industrial Technologies, Inc.",54.00,+0.80,+1.50%,"15,443","185,849",2.084B,14.67,
SSW-PD,Seaspan Corporation,24.97,+0.05,+0.20%,600,"15,492",2.073B,12.31,
SSW-PG,Seaspan Corporation,25.31,-0.00,-0.00%,"3,400","18,530",2.072B,12.48,
TGP-PA,Teekay LNG Partners L.P. PFD UNIT SER A,26.06,+0.05,+0.20%,944,"11,721",2.075B,N/A,
SSW-PH,Seaspan Corporation,25.07,-0.03,-0.13%,"1,100","20,327",2.07B,12.36,
SSW-PI,Seaspan Corporation,24.94,+0.00,+0.00%,"3,376","16,244",2.052B,12.30,
SSW-PE,Seaspan Corporation,25.10,-0.05,-0.20%,"6,583","14,499",2.05B,12.38,
CAR,"Avis Budget Group, Inc.",26.74,+0.27,+1.02%,"255,945",1.1M,2.032B,10.59,
KTOS,"Kratos Defense & Security Solutions, Inc.",19.14,+0.04,+0.21%,"344,540",1.422M,2.031B,162.20,
AXE,Anixter International Inc.,59.35,+1.90,+3.31%,"15,532","141,974",2.001B,10.56,
BV,"BrightView Holdings, Inc.",19.06,+0.18,+0.95%,"22,554","202,676",1.998B,235.31,
WCC,"WESCO International, Inc.",44.16,+0.43,+0.98%,"43,832","569,463",1.981B,8.74,
DLX,Deluxe Corporation,45.79,+0.57,+1.26%,"25,201","325,565",1.966B,20.72,
SCS,Steelcase Inc.,15.89,+0.18,+1.15%,"38,007","644,830",1.864B,15.00,
FSS,Federal Signal Corporation,30.61,+0.27,+0.89%,"39,200","279,876",1.847B,17.96,
REZI,"Resideo Technologies, Inc.",14.76,+0.09,+0.61%,"146,242",1.137M,1.812B,5.00,
HTZ,"Hertz Global Holdings, Inc.",12.57,+0.31,+2.57%,"903,202",4.059M,1.787B,N/A,
TEX,Terex Corporation,24.84,+0.38,+1.55%,"64,388",1.153M,1.769B,130.74,
HI,"Hillenbrand, Inc.",28.19,+0.47,+1.70%,"41,133","606,960",1.767B,12.68,
AQUA,Evoqua Water Technologies Corp.,15.32,+0.30,+2.00%,"240,137","392,042",1.752B,N/A,
FWRD,Forward Air Corporation,61.70,+1.10,+1.82%,"7,567","165,077",1.747B,19.81,
MWA,"Mueller Water Products, Inc.",10.55,+0.16,+1.54%,"87,203","780,879",1.66B,35.05,
SPXC,SPX Corporation,37.76,+0.56,+1.51%,"48,269","194,845",1.656B,26.28,
HCSG,"Healthcare Services Group, Inc.",22.27,+0.16,+0.72%,"143,121","876,673",1.651B,19.54,
HTLD,"Heartland Express, Inc.",19.90,+0.21,+1.07%,"20,120","397,346",1.631B,20.29,
AIMC,Altra Industrial Motion Corp.,25.17,+0.62,+2.53%,"43,652","527,107",1.624B,19.65,
MGRC,McGrath RentCorp,66.78,+0.68,+1.03%,"5,941","105,746",1.62B,18.86,
ACA,"Arcosa, Inc.",33.38,+1.35,+4.21%,"38,494","484,873",1.615B,18.27,
KAMN,Kaman Corporation,57.50,+1.10,+1.95%,"8,721","135,447",1.609B,30.75,
AYR,Aircastle Limited,21.23,+0.35,+1.65%,"30,708","256,973",1.591B,7.91,
MATX,"Matson, Inc.",36.94,+0.96,+2.67%,"7,445","140,219",1.583B,17.12,
ICFI,"ICF International, Inc.",83.21,+0.56,+0.68%,"24,372","114,061",1.563B,24.63,
MLI,"Mueller Industries, Inc.",27.46,+0.66,+2.46%,"11,318","237,809",1.556B,17.16,
SFL,Ship Finance International Limited,12.95,+0.23,+1.81%,"107,404","534,231",1.546B,17.08,
CNDT,Conduent Incorporated,7.03,+0.39,+5.95%,"609,292",3.075M,1.487B,N/A,
AIR,AAR Corp.,42.60,+0.38,+0.89%,"22,108","297,990",1.483B,207.78,
GLOG-PA,GasLog Ltd.,26.80,-0.22,-0.81%,"1,518","7,058",1.466B,N/A,
FLOW,"SPX FLOW, Inc.",34.05,+0.25,+0.74%,"35,710","242,941",1.449B,16.57,
FIX,"Comfort Systems USA, Inc.",38.59,+0.14,+0.36%,"34,838","274,165",1.422B,13.43,
HUBG,"Hub Group, Inc.",41.79,+0.96,+2.36%,"23,687","275,588",1.424B,6.49,
